Timestamp,Order Number,Reminder: Tags Match?,Content,Puller,Area,REMINDER: Content,REMINDER: Packaging?,Error or Correct?,Details,Checker,REMINDER: Signed by Checker?
2/26/2024 16:11:04,551420,,414ACOV 11/16 118ABC 30/16,BB/BJ,,Azek Frontier,,It was Correct,,,
2/26/2024 16:13:35,00551384,,"1816A105 48/16 
1814A105 24/14
168#2SYP 16/8
168#2SYP 8/8
168AP 24/8
1128AP 15/8",LE,,Arkansas Pine ,,It was Correct,,,
2/26/2024 16:14:15,551389,,458ACR 37/16,BJ/BB,,Azek Frontier,,It was Correct,,,
2/26/2024 16:17:44,00551408,,"1417GDPR 25/17
16GDPR 6/16 44/16
112GDPR 25/16",JA/DH,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:21:59,551400,,"BSHPR 100/16 
QRPR 120/16 
1417GDPR 100/17 
112GDPR 50/16 ",JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:23:22,551400,,11210 EWP 24/10 ,YJ/SN,,"Shaun (Longs, Ponderosa Pine, V cut spruce ",,It was Correct,,,
2/26/2024 16:25:24,551377,,"16FJPR2 24/16
16 GDPR 40/16 ",DH/JA,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:32:12,00551393,,"1616#2SYP 24/16 
168#2CM 24/8
1612#2CM 24/12
1610#2CM 24/10
1610A105 24/10
1810A105 24/10",LE,,Arkansas Pine ,,It was Correct,,,
2/26/2024 16:42:02,00551348,,314CPRB317 236/17,JA/DH,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:43:53,551375,,"QRPR 120/16 
BSHPR 50/16 
138BCPR 40/16 
358 CRPR 50/16",TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:45:04,00551400,,"16GDPR 150/16
3BPR 75/16",JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:46:39,551275,,1616AP 64/16,TK,,Arkansas Pine ,,It was Correct,,,
2/26/2024 16:48:48,00551121,,314CR 20/16 30/16,RD/JF,,MDF,,Minor Count (off by 5% or less) (To calculate divide the ammount off by the total they shouldve pulled then multiply by 100) (Ex. shouldve pulled 21 but actually pulled 20. they were three short so 1/21 =.047. .047x100 in 4.7  so they were 4.7% off so this is a minor count error.),,,"There are supposed to be 50, they have 48 pulled. "
2/26/2024 16:50:29,551336,,514CR 120/16,RD/JF,,MDF,,It was Correct,,,
2/26/2024 16:50:37,0550083A,,134CRPR 100/16,TW/YJ,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:52:43,00551364,,1416#2SYP 165/16 27/16,TK,,Arkansas Pine ,,It was Correct,,,
2/26/2024 16:52:52,551365,,"16GDPR 30/16 
14GDPR 30/16 ",JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:56:15,00551368,,"18GDPR 20/16
18WPFJ 30/16
514B618PR 32/16
16GDPR 30/16
",JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:56:27,551323,,"1417WPFJPR2 100/17 
126FJPR2 50/16 ",TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 16:58:14,551391,,"11210EWP 24/10
1128EWP 24/8 ",YJ/SN,,"Shaun (Longs, Ponderosa Pine, V cut spruce ",,It was Correct,,,
2/26/2024 16:59:36,00551319,,"126FJPR2 125/16
112WPFJPR2 60/16",TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:00:33,551299,,55616AWT 35/16,CH/TW,,Azek ,,It was Correct,,,
2/26/2024 17:01:11,00551319,,16WPFJPR2 125/16,TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:03:28,551357,,54620AL 12/20 47/20 1/20 ,CH/TW,,Azek ,,It was Correct,,,
2/26/2024 17:05:14,00551348,,414CPR 55/17 135/17,TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:06:21,551356,,"54412APMH 38/12 22/12
54410APSG 15/10 ",CH/TW,,Azek ,,It was Correct,,,
2/26/2024 17:07:20,00551375,,112GDPR 68/16,TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:07:46,551392,,54620ASG 40/20,TW/CH,,Azek ,,It was Correct,,,
2/26/2024 17:09:31,551317,,54620AKON 4/20,Doolie,,Azek ,,It was Correct,,,
2/26/2024 17:10:07,00551327,,"112WPFJPR2 30/16 30/16
12WPFJPR2 75/16",DH/JA,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:11:34,551323,,1416AP 15/16 ,CH/TW,,Azek ,,It was Correct,,,
2/26/2024 17:12:55,551280,,"112112RJSG 6/12
54616ASG 13/16 ",TW/CH,,Azek ,,It was Correct,,,
2/26/2024 17:14:19,00551384,,"614WSPR 25/16
314C444PR17 50/17
514B2008PR 50/16
18GDPR 50/16
214CPR 50/14",JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:16:52,00551327,,"16WPFJPR2 100/16
1417WPFJPR2 50/17 70/17",JA/DH,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 17:18:49,551427,,54612AWT!4/12,JJ/CH/TW,,Azek ,,It was Correct,,,
2/26/2024 17:19:47,00551388,,"148WRC 10/8
1410SPF 24/10",SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:20:22,551089,,1216APP,CH,,Azek Frontier,,It was Correct,,,
2/26/2024 17:20:40,00551399,,1108SPF 8/8 16/8,SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:21:38,00551397,,128SPF 24/8,SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:22:24,551267,,1816APP 24/16,TW/CH,,Azek ,,It was Correct,,,
2/26/2024 17:23:16,00551384,,1412SPF 24/12,RD/WF,,MDF,,It was Correct,,,
2/26/2024 17:23:31,551427,,54612AWT 64/12,Doolie,,Azek ,,It was Correct,,,
2/26/2024 17:32:55,00551387,,"168SPF 24/8
1128SPF 24/8
128SPF 48/8
138SPF 24/8
1310SOF 16/10",SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:34:10,00551330,,1612M 23/12 12/12,SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:35:08,00551323,,1612M 20/12,SJ/G,,Returns,,It was Correct,,,
2/26/2024 17:44:23,551344,,16EP 10/16,Sam,,1,,It was Correct,,,
2/26/2024 17:45:07,551373,,8810TC 2/10,Sam,,1,,It was Correct,,,
2/26/2024 17:53:56,551330,,"14EP 11/16 4/16 
16EP 10/16 
16EPF 20/16 
548EP 5/16 
546EP 15/16 
544EP 15/16 
18EP 10/16 ",Sam,,1,,It was Correct,,,
2/26/2024 17:56:14,551319,,11616MDF,Sam,,1,,It was Correct,,,
2/26/2024 17:57:16,551330,,11616MDF,Sam,,1,,It was Correct,,,
2/26/2024 17:57:32,00551388,,"1810#2SYP 24/10
1610A116/122 24/10
168#2CM 48/8
1612A116/122 24/12",LE,,Arkansas Pine ,,It was Correct,,,
2/26/2024 17:58:53,551344,,6610TC 12/10,Sam,,1,,It was Correct,,,
2/26/2024 17:59:53,00551387,,"QRPR 120/16
3BPR 50/16",TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 18:01:08,00551353,,314B713PR 60/16,JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 18:01:57,551409,,"888CBR 1/8
268CPR 2/8",NS,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 18:03:32,00551410,,314C444PR17 9/17 27/17,JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 18:04:52,00551386,,514DRCR 4/16,RD,,MDF,,It was Correct,,,
2/26/2024 18:05:30,551343,,58600CP 20/14 20/16 ,NS,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 18:06:42,00551407,,514CR 50/16,RD,,MDF,,It was Correct,,,
2/26/2024 18:06:43,549128,,1614AP 120/14,SK,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 18:07:43,00551400,,5COLCR 50/16,RD,,MDF,,It was Correct,,,
2/26/2024 18:10:55,00551400,,514B2008PR 50/16,JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 18:11:24,551361,,"11216#2CPR 3/16
4610CBR 1/10
468CBR 1/8 1/8 ",NS,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 18:13:31,00551397,,"314CRPR 50/16
3BPR 50/16
1417GDPR 50/17
314C444PR17 50/17
QRPR 120/16
514B2008PR 25/16",TW/CP,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 18:14:41,00551280,,66ACW 4/10,BB/BJ,,Azek Frontier,,It was Correct,,,
2/26/2024 18:16:43,551412,,514B218 87/16 ,RD,,MDF,,It was Correct,,,
2/26/2024 19:16:17,551366,,1400AP,LE,,Arkansas Pine ,,It was Correct,,,
2/26/2024 19:24:43,551331,,1812M 192/12,NS,,Returns,,It was Correct,,,
2/26/2024 19:25:19,551331,,1812M 192/12,NS,,Returns,,It was Correct,,,
2/26/2024 19:32:20,551331,,1412M 250/12,S/G,,Returns,,It was Correct,,,
2/26/2024 19:33:43,551331,,1812M 116/12,S/G,,Returns,,It was Correct,,,
2/26/2024 19:34:55,551331,,1612M 244/12,S/G,,Returns,,It was Correct,,,
2/26/2024 19:40:02,551329,,5448TF,BOO,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 19:40:43,551329,,5448TF 144/8,BOO,,5 (Scott Knight) ,,It was Correct,,,
2/26/2024 20:02:20,551432,,6616TC 1/16,Sam,,1,,It was Correct,,,
2/26/2024 20:09:45,551295,,514SB 224/16,NS,,MDF,,It was Correct,,,
2/26/2024 20:10:23,551295,,514SB 224/16,NS,,MDF,,It was Correct,,,
2/26/2024 20:18:12,551363,,"11016CF 11/16
2416CF 12/16",Harry,,Stain Grade,,Minor Count (off by 5% or less) (To calculate divide the ammount off by the total they shouldve pulled then multiply by 100) (Ex. shouldve pulled 21 but actually pulled 20. they were three short so 1/21 =.047. .047x100 in 4.7  so they were 4.7% off so this is a minor count error.),,,Pulled 10 instead of 11 1x10s
2/27/2024 13:30:03,551483,,110WPFJPR2,JT/NR,,WH 4,,It was Correct,,,YES
2/27/2024 13:34:48,551476,,18GDPR 100/16,TW/CP,,WH 4,,It was Correct,,,YES
2/27/2024 13:37:44,551286,,11214PCYP 12/14,BOO,,WH 5 (Scott Knight) ,,It was Correct,,,YES
2/27/2024 13:40:06,550141,,W1+1x12S4SSE 2/16,OG,,Windsor ,,It was Correct,,,YES
2/27/2024 13:42:42,549264B,,WOCC001 15/16 ,OG,,Windsor ,,It was Correct,,,YES
2/27/2024 13:45:18,549969A,,W1+1x12S4SSE 5/16,OG,,Windsor ,,It was Correct,,,YES
2/27/2024 13:48:11,551771A,,W1+5/4x8S4SSE 7/16 3/16 ,OG,,Windsor ,,It was Correct,,,YES
2/27/2024 13:50:48,550624A,,W1+1x12S4SSE 10/16,OG,,Windsor ,,It was Correct,,,YES
2/27/2024 13:59:19,1,,"fake 10/16
bsh 50/16
QR 40/16
QRPR 40/16 80/16 40/16",fake,,Windsor ,,fake,they actually put BSH,,YES
2/27/2024 14:29:55,458FJPR97,,360/8. BelDado/FJPR FLATJAMS,Jp,,WH 4,,It was Correct,,,YES
2/27/2024 14:40:12,00551435,,458FJPR97,JP,,WH 4,,It was Correct,,,YES
2/27/2024 14:43:33,00551463,,1610#2CM,Tk,,AP,,It was Correct,,,YES
2/27/2024 14:45:27,00551400,,1416#2SYP,Tk,,AP,,It was Correct,,,YES
2/27/2024 14:47:12,00551412,,1414#2SYP 1×4 14' ( 384/14),TK,,AP,,It was Correct,,,YES
2/27/2024 14:49:36,00551397,,"1414#2 SYP, 1×4 14'( 384/14)",TK,,AP,,It was Correct,,,YES
2/27/2024 15:00:33,00551463,,1616#2SYP 1×6 16' (2/16) 2×s (38/16),Mj ,,AP,,It was Correct,,,YES
2/27/2024 15:29:34,00551343,,"1417WPFJPR2 , 1×4 17' WHITE PINE 50/17","JR, NR",,WH 4,,It was Correct,,,YES
2/27/2024 15:31:59,00551343,,"16VCSPFP, 1×6,E&CB PREMIUM, V-CUT 280/16",SN,,"Shaun (Longs, Ponderosa Pine, V cut spruce ",,It was Correct,,,
2/27/2024 15:37:38,00551456,,"1600#2CM #2CM ARKANSAS PINE 1×6, 80/8",MJ,,AP,,It was Correct,,,
2/27/2024 15:41:20,551491,,14MT 50/16 ,TW/CP,,WH 4,,It was Correct,,,
2/27/2024 15:46:25,551491,,"314C399PR17 24/17
314C444PR17 30/17
14GDPR 50/16
16WPFJ 50/16",DH/JA,,WH 4,,It was Correct,,,
2/27/2024 15:49:48,551439,,"1416SPF 100/16
1412SPF 150/12
148 SPF 100/8s",RD/JF,,MDF,,Packaging,There are only two bands and one is very very loose,,
2/27/2024 15:58:21,551465,,1412SPF 59/12 141/12 ,JF/RD ,,MDF,,It was Correct,,,
2/27/2024 15:59:38,00551391 7×s ,,"1610#2CM 1×6 10' ,168#2CM 1×6 8' 24/8,1810#2SYP 1×8 10' 24/10, 1612#2CM 1×6 12'ARK PINE 24/12 ,1612#2 SYP 1×6 12' ,168AP 1×6 8' 24/8 ARK PINE, ×S","TK ,LE",,AP,,It was Correct,,,
2/27/2024 16:00:49,00551408,,168#2SYP 1×6 8' 48/8,LE,,AP,,It was Correct,,,
2/27/2024 16:07:09,00551367,not multiple tags,1600#2122 SQ BCK ARK PINE 256/16 1×6,TK,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:08:27,00551339,not multiple tags,16VCSPFP 1×6 V-CUT PREMIUM 280/16,SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,,YES
2/27/2024 16:08:56,551409,yes ,"2810CPR 1/10 
268CPR 2/8 ",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,
2/27/2024 16:09:41,00551364,not multiple tags,1414#2 SYP 1×4 14' 192/14,TK,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:09:50,1,yes ,Fake item,Calvin,Windsor ,,,It was Correct,,,
2/27/2024 16:16:21,551376,yes ,"BSHPR 50/16
16FJPR2 25/16",DH/JA,WH 4,,yes,It was Correct,,,YES
2/27/2024 16:18:43,00551490,yes ,1616A122 1×6 Beaded ARK PINE 256/16,TK,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:20:16,551414,not multiple tags,258CHRPR 20/16,TW/CP,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:24:00,551423,not multiple tags,PM5PR 50/16,TW/CP,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:27:19,551438,not multiple tags,110WPFJPR2 6/16,TW/CP,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:31:37,551498,not multiple tags,214C324PR 60/14 ,DH/JA,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:31:49,00551489×3s,yes ,"14WPFJPR2 1×4 white pine  50 /16, 18WPFJPR2 1×8 WP 50/16, 314C39984PR 3-1/4. 9E CASING 200/17","TW, CP",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:34:09,551235A,not multiple tags,1600#2CM 20/16,MJ/CC,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:34:53,00551489 4×s,yes ,"16WPFJPR2 2Xs, 1×6s 18/16, 32/16 ,112WPFJPR2 2Xs 1×12s 8/16, 48/16s ","TW, CP",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:36:48,551457,not multiple tags,128FJPR2 40/16,TW/CP,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:38:39,"00551492 4xs, ",yes ,"314C39984PR 3-1/4 17'9E CASING 60/16, 458CRPR 4-5/8 CROWN 60/16, 12WPFJPR2 1X2 WHITE PINE 90/16","JT , IUR",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:39:19,551418,not multiple tags,1616ACM 2/16,MJ,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:40:44,551415,not multiple tags,QRPR 120/16,JA/DH,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:41:23,00551489 x3 ,yes ,"BSHPR BASESHOE 500/16, QRPR QUATER ROUND  760/16, QRPR 40/16","YW , CP",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:42:37,551401,not multiple tags,1412ABC/122 20/12,MJ,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:46:33,00551544 x3s,yes ,"214CPR 2-1/4 200/14, 112 MDFPR 1×12 16' 96/16,2Xs ",DH JA,MDF,Yes,yes,It was Correct,,,YES
2/27/2024 16:49:38,551350,not multiple tags,1614A122  12/14,MJ,AP,Yes,yes,Damage,One board was split at the end,,
2/27/2024 16:51:11,00551490,yes ,14WPFJPR2 1×4 WHITE PINE 492/16,Jp,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:52:21,00551473,yes ,"1600A122 1×6 BEADED ARK 17/12 , 80 /16 ",Mj,AP,Yes,yes,It was Correct,,,YES
2/27/2024 16:52:41,551343,not multiple tags,126FJPR2 25/16,JA/DH,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:54:08,00551324,yes ,54412TF 5/4×4 12 T TREATED PORCH 14R/12,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 16:56:53,00551339 4xs,yes ,"214CPR 2-1/4 CASINGS 40/14, 14FJPR2 DURAPRIME FJ 1×4 40/16, QRPR QUATER ROUND 150×16, 314C39984PR 9E CASING 3-1/4 50/17","TW , CP ",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:57:01,551521,yes ,"314C9EPR17 60/17
QRPR 200/16
BSHPR 100/16",JA/DH,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 16:58:56,00551385 2×s ,yes ,"614WSPR WINDOW STOOL 6-1/4 38/16 , 514WSPR WINDOW STOOL 5-1/4 28/16",Dh Ja ,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:00:50,00551379,yes ,714BPR 7 1/4 BASE FJ 100/16,Dh Ja ,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:01:22,551520,not multiple tags,212C322PR 68/14,JA/DH,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:03:56,00551531,yes ,1414#2SYP 1×4 14'SY PINE 384/14,TK,AP,Yes,yes,It was Correct,,,YES
2/27/2024 17:04:57,551531,yes ,1416#2 SYP 1×4 16' 384/16,TK,AP,Yes,yes,It was Correct,,,YES
2/27/2024 17:05:57,551335,not multiple tags,WM106 100/16,TR,Stain Grade,Yes,yes,It was Correct,,,YES
2/27/2024 17:11:47,551541,not multiple tags,BSHPR 950/16,JT/NR,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:21:35,00551400 5xs ,yes ,"1616#2122 1×6 Sq bck 100/16 , 1616# 2SYP 1×6 16' ARK PINE 24/16 ,1616 AP 1×6 16' 24/16 , 1616A105 1×6 16' 105 CLEAR PINE 24/16 1614 AP 1×6 14' 48/14 ",Mj,AP,Yes,yes,It was Correct,,,YES
2/27/2024 17:27:05,00551426 2×s ,yes ,"54818AF 2×s 1x 7.25"" 2/18 , 3/18 ",BB BJ,Azek Frontier,Yes,yes,It was Correct,,,YES
2/27/2024 17:28:38,00551550,yes ,158ASH 11/18 1-5/8 4/16,Bb BJ,Azek Frontier,Yes,yes,It was Correct,,,YES
2/27/2024 17:31:12,00551564 2xs,yes ,"QRPR 2×s Quater rounds 160/16 ,120/16 ",BB BJ,Azek Frontier,Yes,yes,It was Correct,,,YES
2/27/2024 17:33:55,551482,not multiple tags,16WPFJPR2 200/16,JT/NR,WH 4,Yes,yes,They did not sign the tag,Not signed,,No this is an error
2/27/2024 17:43:27,551109,yes ,1600VC PREMIUM  KNOTTY REV JT,Boo ,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 17:45:30,551544,yes ,"714WSPR 18/16 2/16
514WSPR 60/16
358CRPR 80/16 ",DH/JA,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:49:23,00551438,yes ,544DPR 5/4×4 DURAPRIME 1/16,Sam,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:49:23,551525,yes ,"112WPFJPR2 10/16 
14WPFJPR2 40/16 ",JT/NR,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:50:34,00551375,yes ,18FDPR 1×8 FJ FASCIA DURAPRIME 15/16,Sam,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:52:00,551489,not multiple tags,16FJPR2 50/16,TW/CP,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 17:52:29,00551489 2×s ,yes ,"18FDPR 2×s 1×8 FJ FASCIA DURAPRIME , 30/16 , 20/16 ",Sam,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:54:10,00551543,yes ,34ABM 4×6 3/4 MARINE PLYWOOD 10/18,"Gallow ,Sam",WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:55:58,00551457,yes ,18FDPR 1×8 FJ FASCIA DURAPRIME 20 /16,"Gallow, Sam",WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:57:41,551560,yes ,"128FJPR2 35/16
126FJPR2 160/16",JA/DH,WH 4,Yes,yes,Minor Count (off by 5% or less) (To calculate divide the ammount off by the total they shouldve pulled then multiply by 100) (Ex. shouldve pulled 21 but actually pulled 20. they were three short so 1/21 =.047. .047x100 in 4.7  so they were 4.7% off so this is a minor count error.),1 too many 128FJPR2,,No this is an error
2/27/2024 17:58:02,00551537,yes ,101012 TC 10×10  4/12 TREATED COLUMNS,Sam Gallow,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 17:59:03,00551545,yes ,"514B618pr,29/16,13/16","Ja,DH",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 18:00:31,00551423,yes ,128CLRFJPR 1/2×8 RAW BEV SDG 175/16,Sam,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:02:18,00551476,yes ,"14C2B 1/4"" C-2 BIRCH 10 /18",Sam Gallow ,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:03:33,00551441,yes ,12ABM 4×8 1/2  AB MARINE PLY FIR 22/8,Sam Gallow,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:06:10,00551443,yes ,12A 4×4 1/2 AURACU PLYWOOD 50 /8,Sam Gallow ,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:06:34,00551547,not multiple tags,"Bshpr,400/16","JT,NR",WH 4,,,Minor Count (off by 5% or less) (To calculate divide the ammount off by the total they shouldve pulled then multiply by 100) (Ex. shouldve pulled 21 but actually pulled 20. they were three short so 1/21 =.047. .047x100 in 4.7  so they were 4.7% off so this is a minor count error.),Pull 320 pics instead of 400 pcs,,No this is an error
2/27/2024 18:07:43,00551499,yes ,"14A 4×8 1/4"" AURACU PLYWOOD 1/8 ",Sam Gallow ,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:14:54,551429,not multiple tags,188AP 30/8,CP,AP,,yes,It was Correct,,,YES
2/27/2024 18:23:13,00551513,yes ,248APT 2×4 8' BTR  KDAT 96/8,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:23:16,551261,not multiple tags,112DPR 114/16,Sam,WH 1,Yes,yes,It was Correct,,,YES
2/27/2024 18:24:24,00551513,yes ,54410TF 5/ 4×4 10 TREATED PORCH 144/10,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:25:22,00551513,yes ,11012APT,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:27:16,00551513,yes ,"5448TF 5/ 4×4 TREATED PORCH 144/8 , 11012 1×10 KDAT 34/12",Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:29:59,00551553,yes ,101010CBR 10×10 #2 COM RGH CYPRESS 3/10,Boo ,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:32:15,00551531,yes ,101010CBR 10×10 4/10,O.G ,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,,YES
2/27/2024 18:34:09,00551547,not multiple tags,"BSHPR,400/16","JT,NR",WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 19:02:32,551343,yes ,"16WPFJPR2 50/16
18WPFJPR2 40/16
12WPFJPR2 200/16",JT/NR,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 19:19:13,551425,yes ,"16VJ#2SYPWG 48/10 12/10
16VJ#2SYPWG",OG,Windsor ,Yes,yes,It was Correct,,,YES
2/27/2024 19:22:40,551312,not multiple tags,1400AP 208/8,MJ,AP,Yes,yes,It was Correct,,,YES
2/27/2024 19:30:06,551557,yes ,"12WPFJPR2 70/16 
BSHPR 50/16 
QRPR 80/16",JT/NR,WH 4,Yes,yes,It was Correct,,,YES
2/27/2024 20:00:29,551468,yes ,54620ABD 6/20 49/20,CH/TW,AZEK,Yes,yes,It was Correct,,,YES
2/27/2024 20:28:48,551371,not multiple tags,6610TC 4/10 ,Sam,WH 1,Yes,yes,It was Correct,,,YES
